STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,
CPU clock:,2.194837722 GHz,,,,
TABLE,Region MARKER_NAME,Group 1 Raw,Custom,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],1.273919,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
Runtime (RDTSC) [s],TSC,1.273919e+00,,,
MEM_UOPS_RETIRED_LOADS_ALL,PMC1,2384583000,,,
MEM_LOAD_UOPS_RETIRED_L1_HIT,PMC2,2382713000,,,
INSTR_RETIRED_ANY,FIXC0,9546892000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,2783839000,,,
CPU_CLK_UNHALTED_REF,FIXC2,2783844000,,,
TABLE,Region MARKER_NAME,Group 1 Raw STAT,Custom,6,
Event,Counter,Sum,Min,Max,Avg
Runtime (RDTSC) [s] STAT,TSC,1.2739,1.2739,1.2739,1.2739
MEM_UOPS_RETIRED_LOADS_ALL STAT,PMC1,2384583000,2384583000,2384583000,2384583000
MEM_LOAD_UOPS_RETIRED_L1_HIT STAT,PMC2,2382713000,2382713000,2382713000,2382713000
INSTR_RETIRED_ANY STAT,FIXC0,9546892000,9546892000,9546892000,9546892000
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2783839000,2783839000,2783839000,2783839000
CPU_CLK_UNHALTED_REF STAT,FIXC2,2783844000,2783844000,2783844000,2783844000
