STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,
CPU clock:,2.194920556 GHz,,,,
TABLE,Region MARKER_NAME,Group 1 Raw,Custom,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],1.347384,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
Runtime (RDTSC) [s],TSC,1.347384e+00,,,
MEM_UOPS_RETIRED_LOADS_ALL,PMC1,2793413000,,,
MEM_LOAD_UOPS_RETIRED_L1_HIT,PMC2,2793407000,,,
INSTR_RETIRED_ANY,FIXC0,11995710000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,2945660000,,,
CPU_CLK_UNHALTED_REF,FIXC2,2945663000,,,
TABLE,Region MARKER_NAME,Group 1 Raw STAT,Custom,6,
Event,Counter,Sum,Min,Max,Avg
Runtime (RDTSC) [s] STAT,TSC,1.3474,1.3474,1.3474,1.3474
MEM_UOPS_RETIRED_LOADS_ALL STAT,PMC1,2793413000,2793413000,2793413000,2793413000
MEM_LOAD_UOPS_RETIRED_L1_HIT STAT,PMC2,2793407000,2793407000,2793407000,2793407000
INSTR_RETIRED_ANY STAT,FIXC0,11995710000,11995710000,11995710000,11995710000
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2945660000,2945660000,2945660000,2945660000
CPU_CLK_UNHALTED_REF STAT,FIXC2,2945663000,2945663000,2945663000,2945663000
