STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,
CPU clock:,2.194923293 GHz,,,,
TABLE,Region MARKER_NAME,Group 1 Raw,Custom,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],1.654001,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
Runtime (RDTSC) [s],TSC,1.654001e+00,,,
MEM_UOPS_RETIRED_LOADS_ALL,PMC1,2776637000,,,
MEM_LOAD_UOPS_RETIRED_L1_HIT,PMC2,2776629000,,,
INSTR_RETIRED_ANY,FIXC0,12784240000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,3616562000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3616555000,,,
TABLE,Region MARKER_NAME,Group 1 Raw STAT,Custom,6,
Event,Counter,Sum,Min,Max,Avg
Runtime (RDTSC) [s] STAT,TSC,1.6540,1.6540,1.6540,1.6540
MEM_UOPS_RETIRED_LOADS_ALL STAT,PMC1,2776637000,2776637000,2776637000,2776637000
MEM_LOAD_UOPS_RETIRED_L1_HIT STAT,PMC2,2776629000,2776629000,2776629000,2776629000
INSTR_RETIRED_ANY STAT,FIXC0,12784240000,12784240000,12784240000,12784240000
CPU_CLK_UNHALTED_CORE STAT,FIXC1,3616562000,3616562000,3616562000,3616562000
CPU_CLK_UNHALTED_REF STAT,FIXC2,3616555000,3616555000,3616555000,3616555000
