STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,
CPU clock:,2.194921334 GHz,,,,
TABLE,Region MARKER_NAME,Group 1 Raw,Custom,6,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],1.526308,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
Runtime (RDTSC) [s],TSC,1.526308e+00,,,
MEM_UOPS_RETIRED_LOADS_ALL,PMC1,2832420000,,,
MEM_LOAD_UOPS_RETIRED_L1_HIT,PMC2,2830774000,,,
INSTR_RETIRED_ANY,FIXC0,11356120000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,3334971000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3334980000,,,
TABLE,Region MARKER_NAME,Group 1 Raw STAT,Custom,6,
Event,Counter,Sum,Min,Max,Avg
Runtime (RDTSC) [s] STAT,TSC,1.5263,1.5263,1.5263,1.5263
MEM_UOPS_RETIRED_LOADS_ALL STAT,PMC1,2832420000,2832420000,2832420000,2832420000
MEM_LOAD_UOPS_RETIRED_L1_HIT STAT,PMC2,2830774000,2830774000,2830774000,2830774000
INSTR_RETIRED_ANY STAT,FIXC0,11356120000,11356120000,11356120000,11356120000
CPU_CLK_UNHALTED_CORE STAT,FIXC1,3334971000,3334971000,3334971000,3334971000
CPU_CLK_UNHALTED_REF STAT,FIXC2,3334980000,3334980000,3334980000,3334980000
